"population_group","region","s1","s2","s3","s4","s5","education_severity_phase"
"idp","awdal",0.32051282051282,0.256410256410256,0.423076923076923,0,0,3
"hc","awdal",0.274336283185841,0.249557522123894,0.461946902654867,0.0141592920353982,0,3
"idp","bakool",0.0189873417721519,0.107594936708861,0.746835443037975,0.126582278481013,0,3
"hc","bakool",0.125,0.266129032258065,0.548387096774194,0.0604838709677419,0,3
"idp","banadir",0.0790960451977401,0.127118644067797,0.720338983050847,0.0706214689265537,0.00282485875706215,3
"hc","banadir",0.307888040712468,0.170483460559796,0.455470737913486,0.0661577608142494,0,3
"idp","bari",0.134078212290503,0.156424581005587,0.675977653631285,0.0335195530726257,0,3
"hc","bari",0.341650671785029,0.251439539347409,0.383877159309021,0.0230326295585413,0,3
"idp","bay",0.126582278481013,0.265822784810127,0.544303797468354,0.0632911392405063,0,3
"hc","bay",0.116279069767442,0.197674418604651,0.651162790697674,0.0310077519379845,0.00387596899224806,3
"idp","galgaduud",0.192660550458716,0.26605504587156,0.458715596330275,0.0642201834862385,0.018348623853211,3
"hc","galgaduud",0.32046332046332,0.285714285714286,0.332046332046332,0.0617760617760618,0,3
"idp","gedo",0.0387096774193548,0.2,0.645161290322581,0.116129032258065,0,3
"hc","gedo",0.101010101010101,0.258585858585859,0.595959595959596,0.0444444444444444,0,3
"idp","hiraan",0.173913043478261,0.217391304347826,0.58695652173913,0.0217391304347826,0,3
"hc","hiraan",0.233333333333333,0.258333333333333,0.458333333333333,0.05,0,3
"idp","lower_juba",0.0909090909090909,0.265734265734266,0.587412587412587,0.0559440559440559,0,3
"hc","lower_juba",0.202185792349727,0.251366120218579,0.486338797814208,0.0601092896174863,0,3
"idp","lower_shabelle",0.036144578313253,0.168674698795181,0.765060240963855,0.0301204819277108,0,3
"hc","lower_shabelle",0.169724770642202,0.192660550458716,0.619266055045872,0.018348623853211,0,3
"idp","middle_shabelle",0.206896551724138,0.379310344827586,0.413793103448276,0,0,3
"hc","middle_shabelle",0.30952380952381,0.174603174603175,0.46031746031746,0.0555555555555556,0,3
"idp","mudug",0.124579124579125,0.185185185185185,0.622895622895623,0.0673400673400673,0,3
"hc","mudug",0.257995735607676,0.298507462686567,0.394456289978678,0.0490405117270789,0,3
"idp","nugaal",0.129411764705882,0.147058823529412,0.629411764705882,0.0941176470588235,0,3
"hc","nugaal",0.314763231197772,0.158774373259053,0.49025069637883,0.0362116991643454,0,3
"idp","sanaag",0.192857142857143,0.178571428571429,0.614285714285714,0.0142857142857143,0,3
"hc","sanaag",0.333333333333333,0.272058823529412,0.387254901960784,0.00735294117647059,0,3
"idp","sool",0.147368421052632,0.231578947368421,0.58421052631579,0.0368421052631579,0,3
"hc","sool",0.404296875,0.19921875,0.388671875,0.0078125,0,3
"idp","togdheer",0.270408163265306,0.204081632653061,0.510204081632653,0.0153061224489796,0,3
"hc","togdheer",0.371681415929204,0.245575221238938,0.371681415929204,0.0110619469026549,0,3
"idp","woqooyi_galbeed",0.358490566037736,0.169811320754717,0.427672955974843,0.0440251572327044,0,3
"hc","woqooyi_galbeed",0.445273631840796,0.174129353233831,0.365671641791045,0.0149253731343284,0,3
